representation,streams,command_bytes,dmabuf,replica,status,intent_payload_bytes,extent_bytes,host_retained_bytes,ops_per_phase,store_failures,load_failures,engine_store_MBps,engine_load_MBps,timed_logical_bytes_per_phase,dev_write_cmds,dev_write_bytes,dev_write_sizes,dev_read_cmds,dev_read_bytes,dev_read_sizes,dev_read_lat_p50_us,dev_read_lat_p99_us,dev_write_lat_p99_us,dev_bad_status,dev_unpaired,capture_drops,write_bytes_vs_logical,read_bytes_vs_logical
k16_v8,8,524288,udmabuf,2,replay_status=0,25169920,25174016,0,256,0,0,6885.5,13991.2,4832624640,9600,4833411072,4096x384 524288x9216,9408,4832624640,4096x192 524288x9216,12431.7,14505.5,29794.2,0,0,0,1.0002,1.0000
k16_v8,8,524288,udmabuf,3,replay_status=0,25169920,25174016,0,256,0,0,6898.0,14101.7,4832624640,9600,4833411072,4096x384 524288x9216,9408,4832624640,4096x192 524288x9216,12439.8,13942.6,29455.0,0,0,0,1.0002,1.0000
v8_only,1,1048576,udmabuf,1,replay_status=0,8392704,8396800,16777216,32,0,0,10499.8,5629.3,201424896,240,201523200,4096x48 1048576x192,216,201424896,4096x24 1048576x192,842.7,5370.2,1034.6,0,0,0,1.0005,1.0000
v8_only,1,1048576,udmabuf,2,replay_status=0,8392704,8396800,16777216,32,0,0,10584.2,6115.7,201424896,240,201523200,4096x48 1048576x192,216,201424896,4096x24 1048576x192,837.1,3722.2,807.4,0,0,0,1.0005,1.0000
v8_only,1,1048576,udmabuf,3,replay_status=0,8392704,8396800,16777216,32,0,0,10546.8,6451.7,201424896,240,201523200,4096x48 1048576x192,216,201424896,4096x24 1048576x192,820.0,4154.2,910.0,0,0,0,1.0005,1.0000
v8_only,1,131072,none,1,replay_status=0,8392704,8396800,16777216,32,0,0,1788.7,2120.8,201424896,1584,201523200,4096x48 131072x1536,1560,201424896,4096x24 131072x1536,90.4,1798.0,255.1,0,0,0,1.0005,1.0000
v8_only,1,131072,none,2,replay_status=0,8392704,8396800,16777216,32,0,0,1830.2,2153.9,201424896,1584,201523200,4096x48 131072x1536,1560,201424896,4096x24 131072x1536,90.4,1751.9,258.0,0,0,0,1.0005,1.0000
v8_only,1,131072,none,3,replay_status=0,8392704,8396800,16777216,32,0,0,1808.5,2234.2,201424896,1584,201523200,4096x48 131072x1536,1560,201424896,4096x24 131072x1536,90.8,1845.0,246.4,0,0,0,1.0005,1.0000
v8_only,1,2097152,udmabuf,1,replay_status=0,8392704,8396800,16777216,32,0,0,10708.4,6337.8,201424896,144,201523200,4096x48 2097152x96,120,201424896,4096x24 2097152x96,873.2,4505.9,910.8,0,0,0,1.0005,1.0000
v8_only,1,2097152,udmabuf,2,replay_status=0,8392704,8396800,16777216,32,0,0,9888.1,6366.1,201424896,144,201523200,4096x48 2097152x96,120,201424896,4096x24 2097152x96,855.6,4323.1,1316.4,0,0,0,1.0005,1.0000
v8_only,1,2097152,udmabuf,3,replay_status=0,8392704,8396800,16777216,32,0,0,10619.0,6176.2,201424896,144,201523200,4096x48 2097152x96,120,201424896,4096x24 2097152x96,868.4,4237.7,1201.5,0,0,0,1.0005,1.0000
v8_only,1,524288,udmabuf,1,replay_status=0,8392704,8396800,16777216,32,0,0,10197.9,5934.4,201424896,432,201523200,4096x48 524288x384,408,201424896,4096x24 524288x384,715.4,4326.6,873.4,0,0,0,1.0005,1.0000
v8_only,1,524288,udmabuf,2,replay_status=0,8392704,8396800,16777216,32,0,0,9949.8,5772.7,201424896,432,201523200,4096x48 524288x384,408,201424896,4096x24 524288x384,760.1,4573.5,1221.4,0,0,0,1.0005,1.0000
v8_only,1,524288,udmabuf,3,replay_status=0,8392704,8396800,16777216,32,0,0,10276.6,5922.4,201424896,432,201523200,4096x48 524288x384,408,201424896,4096x24 524288x384,704.4,4648.0,667.9,0,0,0,1.0005,1.0000
v8_only,4,1048576,udmabuf,1,replay_status=0,8392704,8396800,16777216,128,0,0,7311.7,11403.8,805699584,960,806092800,4096x192 1048576x768,864,805699584,4096x96 1048576x768,2021.5,7548.6,5458.1,0,0,0,1.0005,1.0000
v8_only,4,1048576,udmabuf,2,replay_status=0,8392704,8396800,16777216,128,0,0,7214.7,11737.1,805699584,960,806092800,4096x192 1048576x768,864,805699584,4096x96 1048576x768,1937.0,4898.5,5377.4,0,0,0,1.0005,1.0000
v8_only,4,1048576,udmabuf,3,replay_status=0,8392704,8396800,16777216,128,0,0,7311.2,12287.4,805699584,960,806092800,4096x192 1048576x768,864,805699584,4096x96 1048576x768,1989.0,3934.0,5484.0,0,0,0,1.0005,1.0000
v8_only,4,131072,none,1,replay_status=0,8392704,8396800,16777216,128,0,0,5439.9,3306.1,805699584,6336,806092800,4096x192 131072x6144,6240,805699584,4096x96 131072x6144,140.7,4264.4,441.1,0,0,0,1.0005,1.0000
v8_only,4,131072,none,2,replay_status=0,8392704,8396800,16777216,128,0,0,5507.5,4077.2,805699584,6336,806092800,4096x192 131072x6144,6240,805699584,4096x96 131072x6144,186.8,2114.5,3441.1,0,0,0,1.0005,1.0000
v8_only,4,131072,none,3,replay_status=0,8392704,8396800,16777216,128,0,0,5402.0,3022.5,805699584,6336,806092800,4096x192 131072x6144,6240,805699584,4096x96 131072x6144,100.2,567.8,837.6,0,0,0,1.0005,1.0000
v8_only,4,2097152,udmabuf,1,replay_status=0,8392704,8396800,16777216,128,0,0,7315.9,11485.9,805699584,576,806092800,4096x192 2097152x384,480,805699584,4096x96 2097152x384,2207.3,5175.1,5205.1,0,0,0,1.0005,1.0000
v8_only,4,2097152,udmabuf,2,replay_status=0,8392704,8396800,16777216,128,0,0,7360.3,12291.3,805699584,576,806092800,4096x192 2097152x384,480,805699584,4096x96 2097152x384,2178.4,3951.7,5274.8,0,0,0,1.0005,1.0000
v8_only,4,2097152,udmabuf,3,replay_status=0,8392704,8396800,16777216,128,0,0,7348.8,11498.5,805699584,576,806092800,4096x192 2097152x384,480,805699584,4096x96 2097152x384,2152.3,7070.6,5170.3,0,0,0,1.0005,1.0000
v8_only,4,524288,udmabuf,1,replay_status=0,8392704,8396800,16777216,128,0,0,7531.2,11988.6,805699584,1728,806092800,4096x192 524288x1536,1632,805699584,4096x96 524288x1536,1852.4,4909.9,5176.9,0,0,0,1.0005,1.0000
v8_only,4,524288,udmabuf,2,replay_status=0,8392704,8396800,16777216,128,0,0,7333.1,11578.8,805699584,1728,806092800,4096x192 524288x1536,1632,805699584,4096x96 524288x1536,1808.0,4858.0,5084.1,0,0,0,1.0005,1.0000
v8_only,4,524288,udmabuf,3,replay_status=0,8392704,8396800,16777216,128,0,0,7380.9,11539.6,805699584,1728,806092800,4096x192 524288x1536,1632,805699584,4096x96 524288x1536,1848.6,7343.6,5275.5,0,0,0,1.0005,1.0000
v8_only,8,1048576,udmabuf,1,replay_status=0,8392704,8396800,16777216,256,0,0,7033.2,13871.9,1611399168,1920,1612185600,4096x384 1048576x1536,1728,1611399168,4096x192 1048576x1536,4129.7,5192.1,10301.7,0,0,0,1.0005,1.0000
v8_only,8,1048576,udmabuf,2,replay_status=0,8392704,8396800,16777216,256,0,0,7022.5,13569.7,1611399168,1920,1612185600,4096x384 1048576x1536,1728,1611399168,4096x192 1048576x1536,4173.3,5760.2,10808.5,0,0,0,1.0005,1.0000
v8_only,8,1048576,udmabuf,3,replay_status=0,8392704,8396800,16777216,256,0,0,7112.5,13628.5,1611399168,1920,1612185600,4096x384 1048576x1536,1728,1611399168,4096x192 1048576x1536,4102.3,7231.4,10073.4,0,0,0,1.0005,1.0000
v8_only,8,131072,none,1,replay_status=0,8392704,8396800,16777216,256,0,0,6971.3,5705.7,1611399168,12672,1612185600,4096x384 131072x12288,12480,1611399168,4096x192 131072x12288,410.1,3100.9,8683.8,0,0,0,1.0005,1.0000
v8_only,8,131072,none,2,replay_status=0,8392704,8396800,16777216,256,0,0,6858.8,5688.7,1611399168,12672,1612185600,4096x384 131072x12288,12480,1611399168,4096x192 131072x12288,452.5,1271.8,8806.1,0,0,0,1.0005,1.0000
v8_only,8,131072,none,3,replay_status=0,8392704,8396800,16777216,256,0,0,6932.8,5636.6,1611399168,12672,1612185600,4096x384 131072x12288,12480,1611399168,4096x192 131072x12288,374.6,915.1,8601.9,0,0,0,1.0005,1.0000
v8_only,8,2097152,udmabuf,1,replay_status=0,8392704,8396800,16777216,256,0,0,7073.4,13286.8,1611399168,1152,1612185600,4096x384 2097152x768,960,1611399168,4096x192 2097152x768,4111.1,6666.3,10149.1,0,0,0,1.0005,1.0000
v8_only,8,2097152,udmabuf,2,replay_status=0,8392704,8396800,16777216,256,0,0,7059.3,13670.2,1611399168,1152,1612185600,4096x384 2097152x768,960,1611399168,4096x192 2097152x768,4143.3,7420.7,10243.3,0,0,0,1.0005,1.0000
v8_only,8,2097152,udmabuf,3,replay_status=0,8392704,8396800,16777216,256,0,0,7062.6,13555.6,1611399168,1152,1612185600,4096x384 2097152x768,960,1611399168,4096x192 2097152x768,4146.6,5405.4,10130.1,0,0,0,1.0005,1.0000
v8_only,8,524288,udmabuf,1,replay_status=0,8392704,8396800,16777216,256,0,0,7107.7,13288.5,1611399168,3456,1612185600,4096x384 524288x3072,3264,1611399168,4096x192 524288x3072,4067.7,8280.3,10192.1,0,0,0,1.0005,1.0000
v8_only,8,524288,udmabuf,2,replay_status=0,8392704,8396800,16777216,256,0,0,7110.8,13773.7,1611399168,3456,1612185600,4096x384 524288x3072,3264,1611399168,4096x192 524288x3072,3972.3,5035.9,10191.7,0,0,0,1.0005,1.0000
v8_only,8,524288,udmabuf,3,replay_status=0,8392704,8396800,16777216,256,0,0,7174.4,13129.2,1611399168,3456,1612185600,4096x384 524288x3072,3264,1611399168,4096x192 524288x3072,4121.7,5943.0,10171.3,0,0,0,1.0005,1.0000
